
19 Sep 2021, Romans 6:15-23 -  The End of the Road, Michael Luehrmann, F_EWvV0A2jg
12 Sep 2021, Romans 6:1-14 -  United with Christ, Michael Luehrmann, Xx32uY5H4II
5 Sep 2021, Luke 16:1-13 - Welcomed into eternal dwellings, David Lovell, 83w30jaBUr4
29 Aug 2021, Luke 12: 35-53, Michael Luehrmann, cH4CH_snLhY
22 Aug 2021, Luke 12:13-34 -  Goods and God, Michael Luehrmann, WI9X2t-MlNs
